209,Men's bathroom 2A,2
212,Women's bathroom 2A,2
215,Beth Miller Lounge,2
221,Storage 221,2
225,Meeting Room 225,2
229,Staff Kitchen,2
231,Bon Appetit Office,2
232,Women's bathroom 2B,2
234,Men's bathroom 2B,2
235,NSPM Room,2
237,Meeting Room 237,2
238,Meeting Room 238,2
239,College Outdoor,2
240,Tamara Ko,2
241,Campus Activities Board (CAB),2
242,Black Student Union (BSU),2
243,International Students and Scholars,2
244,Student Activities Room,2
245,Hawaii Club,2
245,Asian Student Union (ASU),2
245,Mixed LC,2
246,Gente Latina Uniday (GLU),2
246,Native Student Union (NSU),2
247,Third Culture Kids (TCK/ISLC),2
247,International Students of Lewis and Clark (ISLC),2
248,Palatine Support Network,2
249,Feminist Student Union,2
250,Queer Student Union,2
251,Neuro Divergent Student Union (NDSU),2
252,Storage 252,2
253,Storage 253,2
254,The Mossy Log,2
255,Storage,2
256B,ACM (Association for Computing Machinery),2
256B,SEED (Students Engaged in Eco-Defense),2
256B,Club Sports,2
256B,KPH Student Radio,2
257C,IDF Closet,2
258,Associated Student Body (ASB),2
263,Amy Dvorak,2
263,Sustainability Office,2
266,Council Chamber,2
280,Mechanical Boiler,2
,Bon Appetit Market,2
350,Meeting Room 350,3
352,Meeting Room 352,3
353,Meeting Room 353,3
310,Stamm Dining Hall,3
,Hu Media Lounge,3
,Kitchen,3
,Fields Dining Hall,3
320,Andrea Salyer,3
321,Center for Social Change and Community Involement,3
325,Office of Inclusion and Multicultural Engagement,3
110,Heath Promotion and Wellness,1
,Undergraduate Financial Aid Office,1
130,Student and Departmental Account Services,1
150,Undergraduate Registrar,1
,Career Center,2
,Book Store,2
117,Bathroom 1A,1
118,Women's bathroom 1A,1
,Men's bathroom 3A,3
,Women's bathroom 3A,3
119,Telecom,
115,Mechanical ,
120,Financial Aid,
127,To Elevator,
128,Lactation Room,
144,Staff Only Copy Room,
323,End,
