110	Health Promotion and Wellness	57	1	Health Promotion and Wellness|110|Doctor	503-768-8225	The Office of Health Promotion and Wellness at Lewis & Clark College is dedicated to a holistic approach to supporting the needs of students in their pursuit of creating and maintaining healthy, well-balanced lifestyles.
117	Men's Bathroom 1A	59	1	Men's Bathroom 1A|117|Loo Water closet rest room	N/A	N/A
118	Women's Bathroom 1A	60	1	Women's Bathroom 1A|118|Loo Water closet rest room	N/A	N/A
120	Financial Aid	62	1	Financial Aid|120|	503-768-7090	The Financial Aid Office is located on the lower level of Fowler Student Center. To schedule an appointment, please email fao@lclark.edu or email your financial aid counselor.
128	Lactation Room	63	1	Lactation Room|128|	503-768-7186	Available for Public Use
130	Student and Departmental Account Services	63	1	Student and Departmental Account Services|130|	503-768-7829	Student and Departmental Account Services current window operation hours are Monday, Tuesday, Thursday and Friday from 11 a.m to 3 p.m. Individual in person or virtual meetings can be scheduled outside of these hours from 8 a.m. to 4 p.m. as available.
144	Staff Only Copy Room	63	1	Staff Only Copy Room|144|	N/A	N/A
150	Undergraduate Financial Aid Office	66	1	Undergraduate Financial Aid Office|150|	fao@lclark.edu	The Financial Aid Office is located on the lower level of Fowler Student Center. To schedule an appointment, please email fao@lclark.edu or email your financial aid counselor.
209	Men's Bathroom 2A	38	2	Men's Bathroom 2A|209|Loo Water closet rest room	N/A	N/A
212	Women's Bathroom 2A	36	2	Women's Bathroom 2A|212|Loo Water closet rest room	N/A	N/A
215	Beth Miller Lounge	1	2	Beth Miller Lounge|215|	N/A	Named for Life Trustee Beth Miller BS ’73 the Lounge is located adjacent to Council Chamber and used for receptions and events.
221	Storage 221	49	2	Storage 221|221|	N/A	N/A
225	Meeting Room 225	23	2	Meeting Room 225|225|Study	N/A	Avaliable room for use unless booked
229	Staff Kitchen	17	2	Staff Kitchen|229|	N/A	Kitchen for faculty use only
231	Bon Appetit Office	47	2	Bon Appetit Office|231|Chef 	bonadvisory@lclark.edu	Office of the Bon Appétit Administration
232	Men's Bathroom 2B	15	2	Men's Bathroom 2B|232|Loo Water closet rest room	N/A	N/A
234	Women's Bathroom 2B	17	2	Women's Bathroom 2B|234|Loo Water closet rest room	N/A	N/A
235	NSPM Room	49	2	NSPM Room|235|New Student Peer Mentors program	nspm@lclark.edu	Home to the New Student Peer Mentors program
237	Meeting Room 237	45	2	Meeting Room 237|237|Study	N/A	Avaliable room for use unless booked
238	Meeting Room 238	45	2	Meeting Room 238|238|Study	N/A	Avaliable room for use unless booked
239	College Outdoors	42	2	College Outdoors|239|camping boating hiking trips 	outdoors@lclark.edu	College Outdoors provides the Lewis & Clark College community with access to the spectacular outdoor environments of the Pacific Northwest through a variety of activities including hiking, mushroom-hunting, cross-country skiing, backpacking, whitewater rafting, kayaking, and nature meditation.
240	Tamara Ko's Office	39	2	Tamara Ko's Office|240|	tko@lclark.edu	Office of the Director of Student Engagement and Special Events
241	Campus Activities Board (CAB)	43	2	Campus Activities Board (CAB)|241|	caboard@lclark.edu	Lewis & Clark’s Campus Activities Board (CAB) is a diverse group of dedicated students that strive to program fun, safe and social events for the Lewis & Clark community.
242	Black Student Union (BSU)	44	2	Black Student Union (BSU)|242|	bsu@lclark.edu	The Black Student Union aims to create an accountable and safe space for people of color on campus, as well as allies.
243	International Students and Scholars (ISS)	54	2	International Students and Scholars (ISS)|243|	iso@lclark.edu	ISS offers a wide variety of support programs for the 200+ international students on campus, responsible for international student admissions, financial aid, orientation, and immigration services.
244	Student Activities Room	5	2	Student Activities Room|244|	503-768-7121	Reach out to Student Engagement if you have ideas for what they should do with this space!
245	Hawaii Club	2	2	Hawaii Club|245|	hc@lclark.edu	The Hawai`i Club serves as a resource of those in the L&C community wanting to learn about Hawai`i and its unique customs and cultures.
245	Asian Student Union (ASU)	2	2	Asian Student Union (ASU)|245|	asu@lclark.edu	The overarching mission of our organization is to provide a safe space and community for our members.
245	Mixed LC	2	2	Mixed LC|245|	mixed@lclark.edu	The goal of Mixed LC is to provide a space for students who identify as biracial, multiracial, and/or mixed.
246	Gente Latina Uniday (GLU)	3	2	Gente Latina Uniday (GLU)|246|	glu@lclark.edu	As a part of the Lewis & Clark College community, we are focused on expanding and amplifying the Latino experience; providing greater opportunities for leadership, mentorship, professional opportunities and serving as a platform for sharing cultural connections and narratives that are often overlooked.
246	Native Student Union (NSU)	3	2	Native Student Union (NSU)|246|	nsu@lclark.edu	The Native Student Union (NSU) is a collection of Lewis & Clark students both indigenous and curious dedicated to the study, reflection, and celebration of Indigenous cultures and histories worldwide.
247	Third Culture Kids (TCK/ISLC)	4	2	Third Culture Kids (TCK/ISLC)|247|	tck@lclark.edu	A Third Culture Kid (TCK) is someone who has been exposed to multiple cultural identities.
247	International Students of Lewis and Clark (ISLC)	4	2	International Students of Lewis and Clark (ISLC)|247|	iso@lclark.edu	International Students of Lewis & Clark (ISLC) is a student government designed to promote international awareness by increasing the interaction between international and U.S. students.
248	Palatine Support Network	8	2	Palatine Support Network|248|	piosupportnetwork@lclark.edu	The Palatine Support Network (PSN) aims to provide students with a peer-led, free, mental health resource in the form of a space for conversation and connection at LC.
249	Feminist Student Union	9	2	Feminist Student Union|249|	studentengagement@lclark.edu	The Feminist Student Union is an activist group dedicated to challenging sexism, racism, classism and other forms of oppression.
250	Queer Student Union	10	2	Queer Student Union|250|	qsu@lclark.edu	The Queer Student Union is a club centered on providing resources and space for queer, trans, and LGBTQIA+ students on campus.
